ProductID,ProductNo,ProductName,Barcode,SKU,SellPriceExTax,SellTaxCode,CostPriceExTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup
,,Green Papaya Salad,,,12,GST,0,FRE,0,1,,Salads & Soups,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81de7aff9d-fa64-6867-5d44-6f6f9bb659c0.jpeg,
,,Creamy Chicken Soup,,,15,GST,0,FRE,0,1,,Salads & Soups,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/6b87a47b-105a-5dc0-62e6-bcbd78324c87.jpeg,
,,Garlic Bread,,,8,GST,0,FRE,0,1,,Appetizers,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/f6d5f5e6-2d17-b1e7-f675-d16de6c56f1a.jpeg,
,,Yaki Gyoza,,,10,GST,0,FRE,0,1,,Appetizers,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/d6dcbcc5-490f-d403-b939-1dc8ee187164.jpeg,
,,Macadamia CrÃ¨me BrÃ»lÃ©e,,,10,GST,0,FRE,0,1,,Desserts,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/5cb399b8-47b2-d956-2327-ea5f41df03dc.jpeg,
,,Blueberry Muffin,,,4,GST,0,FRE,0,1,,Desserts,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/e89d98f7-35c8-b3f1-fb8a-86eb076d68f3.jpeg,
,,Tomato Soup,,,15,GST,0,FRE,0,1,,Salads & Soups,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/fc9fd283-88d8-1818-f401-d6625214cb6d.jpeg,
,,Lamb Burger,,,17.5,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/c599d34c-a453-7842-69fd-82f13433894b/61ec829a-8f04-0cb2-dc5b-7a5ea1026d61.jpg,
,,Rib-Eye Steak,,,36.5,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/ccbed286-167e-735f-f053-94c2d704281e.jpeg,
,,Chicken Parmigiana,,,20,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/e45c9b77-cfb5-a280-50df-9c6719b06cea.png,
,,Beetroot Salad,,,18,GST,0,FRE,0,1,,Salads & Soups,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/2d19856c-24f3-774b-94b3-0d3fb654db9e.jpg,
,,Beef Pasta,,,18.5,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/721a18c2-9f39-9ab1-2659-1194879bd5ff.png,
,,Beef Wellington,,,19,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/04117ad0-d6de-8df2-4f93-3b0231d8c619.png,
,,Lasagna,,,16.5,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/c3460b7e-6492-f917-b0fc-163262fdf719.png,
,,Spaghetti Bolognese,,,16.5,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/files/37b04c7b-5df6-5588-623b-6e159e5e5839/6560895a-ba29-020d-06f5-0c643c5b2d64.png,
,,Open Food,,,0,GST,0,FRE,0,1,,Mains,,0,0,https://s3-ap-northeast-1.amazonaws.com/kounta/file/8b35dcde-46d3-64ce-ab84-b1284a487c81/af69cf58-4199-607d-711a-798a036d57b3.jpeg,
